Day,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,9:08,9:59,11:14,12:43,14:04,15:05,15:15,14:28,13:10,11:45,10:20,9:19
2,9:09,10:02,11:16,12:46,14:07,15:06,15:14,14:26,13:07,11:42,10:18,9:17
3,9:10,10:04,11:19,12:48,14:09,15:07,15:13,14:24,13:04,11:39,10:15,9:16
4,9:11,10:07,11:22,12:51,14:12,15:08,15:12,14:21,13:01,11:37,10:13,9:15
5,9:12,10:09,11:25,12:54,14:14,15:10,15:11,14:19,12:59,11:34,10:10,9:13
6,9:13,10:12,11:28,12:57,14:16,15:11,15:11,14:17,12:56,11:31,10:08,9:12
7,9:14,10:14,11:31,13:00,14:19,15:11,15:10,14:14,12:53,11:28,10:05,9:11
8,9:15,10:17,11:34,13:03,14:21,15:12,15:08,14:12,12:50,11:25,10:03,9:10
9,9:16,10:19,11:36,13:05,14:23,15:13,15:07,14:10,12:48,11:22,10:01,9:09
10,9:18,10:22,11:39,13:08,14:25,15:14,15:06,14:07,12:45,11:20,9:58,9:09
11,9:19,10:24,11:42,13:11,14:28,15:15,15:05,14:05,12:42,11:17,9:56,9:08
12,9:20,10:27,11:45,13:14,14:30,15:15,15:04,14:02,12:39,11:14,9:54,9:07
13,9:22,10:29,11:48,13:17,14:32,15:16,15:02,14:00,12:36,11:11,9:52,9:06
14,9:23,10:32,11:51,13:19,14:34,15:16,15:01,13:57,12:33,11:08,9:49,9:06
15,9:25,10:35,11:54,13:22,14:36,15:17,15:00,13:55,12:31,11:06,9:47,9:05
16,9:27,10:37,11:57,13:25,14:38,15:17,14:58,13:52,12:28,11:03,9:45,9:05
17,9:28,10:40,11:59,13:28,14:40,15:17,14:56,13:50,12:25,11:00,9:43,9:05
18,9:30,10:43,12:02,13:30,14:42,15:18,14:55,13:47,12:22,10:57,9:41,9:04
19,9:32,10:46,12:05,13:33,14:44,15:18,14:53,13:45,12:19,10:55,9:39,9:04
20,9:34,10:48,12:08,13:36,14:46,15:18,14:52,13:42,12:16,10:52,9:37,9:04
21,9:36,10:51,12:11,13:38,14:48,15:18,14:50,13:39,12:14,10:49,9:35,9:04
22,9:38,10:54,12:14,13:41,14:50,15:18,14:48,13:37,12:11,10:46,9:33,9:04
23,9:40,10:57,12:17,13:44,14:51,15:18,14:46,13:34,12:08,10:44,9:31,9:04
24,9:42,10:59,12:20,13:46,14:53,15:18,14:44,13:32,12:05,10:41,9:30,9:04
25,9:44,11:02,12:23,13:49,14:55,15:17,14:42,13:29,12:02,10:38,9:28,9:04
26,9:46,11:05,12:25,13:52,14:56,15:17,14:40,13:26,11:59,10:36,9:26,9:05
27,9:48,11:08,12:28,13:54,14:58,15:17,14:38,13:23,11:56,10:33,9:24,9:05
28,9:50,11:11,12:31,13:57,14:59,15:16,14:36,13:21,11:54,10:31,9:23,9:05
29,9:53,,12:34,13:59,15:01,15:16,14:34,13:18,11:51,10:28,9:21,9:06
30,9:55,,12:37,14:02,15:02,15:15,14:32,13:15,11:48,10:25,9:20,9:06
31,9:57,,12:40,,15:04,,14:30,13:13,,10:23,,9:07
