"","date","jd","airt","f.airt","airtmax","f.airtmax","airtmin","f.airtmin","rh","f.rh","rhmax","f.rhmax","rhmin","f.rhmin","dewp","f.dewp","dewpmax","f.dewpmax","dewpmin","f.dewpmin","prec","f.prec","slrt","f.slrt","part","f.part","netr","f.netr","bar","f.bar","wspd","f.wspd","wres","f.wres","wdir","f.wdir","wdev","f.wdev","gspd","f.gspd","s10t","f.s10t","s10tmax","f.s10tmax","s10tmin","f.s10tmin"
"2882",2009-01-01,1,-15.1,"",-9.2,"",-19.1,"",58,"",76,"",33,"",-21.9,"",-20.4,"",-23.5,"",0,"",8.4,"",16.7,"",-39.4,"",1011,"",2.4,"",2.1,"",294,"",29,"",13.4,"",1,"",1.1,"",1,""
"2883",2009-01-02,2,-9.1,"",-3.7,"",-15.8,"",75,"",97,"",47,"",-12.9,"",-6.2,"",-21,"",0,"",3.7,"",7.3,"",-16.6,"",1005,"",1.4,"",1,"",237,"",42,"",8.1,"",1,"",1,"",1,""
"2884",2009-01-03,3,-5.5,"",-1.6,"",-9.5,"",69,"",97,"",41,"",-10.9,"",-6.4,"",-14.3,"",0,"",8.1,"",14.8,"",-35.3,"",1004,"",2.7,"",2.5,"",278,"",24,"",13.9,"",1,"",1,"",1,""
"2885",2009-01-04,4,-6.4,"",0,"",-11.4,"",59,"",78,"",40,"",-13.3,"",-9.1,"",-16.3,"",0,"",8.3,"",16.2,"",-24.7,"",1008,"",1.9,"",1.6,"",292,"",31,"",8,"",1,"",1,"",1,""
"2886",2009-01-05,5,-2.4,"",0.7,"",-6.4,"",77,"",97,"",45,"",-6.2,"",-1.7,"",-12.1,"",1,"",2.9,"",5.4,"",-19.4,"",1006,"",2.1,"",1.9,"",268,"",26,"",11.6,"",1,"",1.1,"",1,""
"2887",2009-01-06,6,-4.9,"",0,"",-10.1,"",65,"",88,"",38,"",-10.9,"",-7.5,"",-13,"",0,"",6.3,"",11.7,"",-18.9,"",1009,"",1,"",0.7,"",257,"",44,"",5.1,"",1,"",1.1,"",1,""
"2888",2009-01-07,7,-2.6,"",-0.2,"",-5.1,"",97,"",100,"",77,"",-3,"",-0.5,"",-7.6,"",26.2,"",0.8,"",1.8,"",5.6,"",991,"",1.4,"Q",1.3,"Q",86,"Q",24,"Q",9.1,"Q",1.1,"",1.1,"",1,""
"2889",2009-01-08,8,-3.2,"",-0.5,"",-9.9,"",93,"",100,"",76,"",-4.2,"",-0.6,"",-11.8,"",0.8,"",2.8,"",7,"",-21.7,"",987,"",0,"Q",0,"Q",0,"Q",0,"Q",0,"Q",1.2,"",1.3,"",1.1,""
"2890",2009-01-09,9,-9.9,"",-6.1,"",-12.5,"",78,"",89,"",63,"",-13.1,"",-11.2,"",-15.2,"",0,"",8.8,"",18.2,"",-31.1,"E",1005,"",1.3,"Q",1.1,"Q",273,"Q",20,"Q",10.1,"Q",1.4,"",1.4,"",1.3,""
"2891",2009-01-10,10,-11.1,"",-8,"",-15.9,"",77,"",92,"",54,"",-14.5,"",-10.5,"",-18,"",1,"",5.7,"",11.4,"",-16,"",1015,"",1,"",0.6,"",321,"",50,"",5,"",1.3,"",1.4,"",1.2,""
"2892",2009-01-11,11,-8.6,"",-4.2,"",-11.3,"",94,"",96,"",91,"",-9.4,"",-4.8,"",-12.3,"",10.9,"",1.2,"",2.2,"",-14.8,"",1006,"",1.2,"",0.8,"",5,"",45,"",7,"",1.2,"",1.2,"",1.2,""
"2893",2009-01-12,12,-9.2,"",-3.9,"",-12.1,"",93,"",95,"",90,"",-10.1,"",-4.8,"",-13.2,"",0,"",4.9,"",7.5,"",-35.2,"",1012,"",1,"",0.6,"",307,"",45,"",6.6,"",1.2,"",1.3,"",1.2,""
"2894",2009-01-13,13,-4.7,"",-0.6,"",-10.7,"",89,"",94,"",78,"",-6.4,"",-2,"",-11.7,"",0,"",2.5,"",4.3,"",-25.8,"",1011,"",1.8,"",1.6,"",177,"",29,"",8.9,"",1.3,"",1.4,"",1.3,""
"2895",2009-01-14,14,-11.5,"",-1.2,"",-16.4,"",56,"",96,"",35,"",-18.7,"",-2.3,"",-23.9,"",0,"",8.6,"",16.7,"",-29.2,"",1008,"",2.4,"",2.2,"",280,"",24,"",12.4,"",1.4,"",1.5,"",1.4,""
"2896",2009-01-15,15,-14.7,"",-9,"",-19.6,"",60,"",81,"",32,"",-21.2,"",-19.8,"",-23.7,"",0,"",6.1,"",12.2,"",-18.4,"",1015,"",0.6,"",0.4,"",339,"",41,"",6.2,"",1.5,"",1.5,"",1.5,""
"2897",2009-01-16,16,-16.5,"",-10.6,"",-20.9,"",63,"",85,"",37,"",-22.2,"",-19.1,"",-23.8,"",0,"",8.2,"",15.8,"",-33.1,"",1021,"",1.2,"",1,"",261,"",30,"",7.7,"",1.4,"",1.5,"",1.3,""
"2898",2009-01-17,17,-15.3,"",-10.1,"",-21.4,"",56,"",77,"",33,"",-22.5,"",-17.8,"",-24.7,"",0,"",8,"",16,"",-20.8,"",1022,"",1.1,"",0.7,"",202,"",47,"",5.1,"",1.3,"",1.4,"",1.2,""
"2899",2009-01-18,18,-7.9,"",-2.6,"",-12.9,"",90,"",95,"",66,"",-9.2,"",-3.6,"",-17.9,"",5.3,"",1,"",2.1,"",-11.4,"",1009,"",1.5,"",1.1,"",91,"",41,"",7.3,"",1.1,"",1.2,"",1.1,""
"2900",2009-01-19,19,-5.6,"",-1.1,"",-10.6,"",93,"",96,"",84,"",-6.6,"",-1.9,"",-11.5,"",3.3,"",3.6,"",3.5,"",-23.5,"",998,"",0.6,"",0.3,"",231,"",55,"",4.3,"",1.2,"",1.2,"",1.1,""
"2901",2009-01-20,20,-7.7,"",-1.4,"",-12.8,"",81,"",94,"",57,"",-10.5,"",-7.2,"",-14.7,"",0,"",5.3,"",3.8,"",-21.6,"",998,"",1,"",0.8,"",332,"",31,"",6.7,"",1.3,"",1.4,"",1.2,""
"2902",2009-01-21,21,-11.4,"",-5.3,"",-16.6,"",71,"",91,"",42,"",-15.9,"",-13.5,"",-18.6,"",0,"",8.4,"",6.9,"",-21.8,"",1004,"",1.3,"",1.1,"",280,"",33,"",6.7,"",1.4,"",1.5,"",1.3,""
"2903",2009-01-22,22,-5.9,"",-0.6,"",-10.7,"",69,"",78,"",54,"",-10.7,"",-7.1,"",-14.2,"",0,"",8.2,"",16.8,"",-9.8,"",1005,"",2.3,"",2.1,"",261,"",24,"",11.1,"",1.5,"",1.6,"",1.5,""
"2904",2009-01-23,23,-0.8,"",4.6,"",-4.6,"",69,"",81,"",49,"",-5.9,"",-2.2,"",-7.9,"",0,"",6.5,"",13,"",-8.9,"",1007,"",1.8,"",1.5,"",199,"",33,"",9.1,"",1.6,"",1.6,"",1.5,""
"2905",2009-01-24,24,-5.6,"",1.6,"",-16.8,"",56,"",84,"",33,"",-13.3,"",-2,"",-22.2,"",0,"",9.2,"",17.5,"",-30,"",1007,"",3.3,"",3,"",275,"",25,"",14,"",1.7,"",1.7,"",1.6,""
