date,airt,f.airt,airtmax,f.airtmax,airtmin,f.airtmin,airtmmx,f.airtmmx,airtmmn,f.airtmmn,prec,f.prec,slrt,f.slrt,part,f.part,netr,f.netr,wspd,f.wspd,wres,f.wres,wdir,f.wdir,gspd,f.gspd,s10t,f.s10t
2002,8.4,,14.0,,3.5,,33.7,,-17.4,,1111,,13.4,1,NA,M,NA,M,1.7,3,0.4,,242,,20.8,2,10.7,
2003,7.4,,12.8,,2.4,,33.3,,-23.2,,1310,,12.5,2,NA,M,NA,M,1.7,6,0.3,,241,,19.2,6,10.4,4
2004,7.5,,13.0,,2.5,,31.0,,-25.6,,1163,,13.1,,27.1,,51.5,,1.7,3,0.4,,251,,20.7,3,10.7,
2005,8.1,,13.6,,3.1,,32.6,,-24.9,,1426,,12.6,1,25.1,1,47.1,1,1.6,5,0.2,,253,,18.0,5,10.7,3
2006,9.0,,14.2,,4.2,,33.7,,-18.7,,1095,,11.6,,25.2,,51.6,,1.7,,0.3,,246,,21.7,,11.0,
2007,7.8,,13.3,,2.8,,32.5,,-21.1,,1139,,12.4,,27.4,,52.5,,1.6,4,0.4,,254,,19.3,4,10.8,
2008,8.0,,13.4,,3.0,,34.1,,-20.2,,1565,,12.7,1,24.3,1,50.2,1,1.6,4,0.3,,236,,18.6,4,10.9,
2009,7.6,,13.0,,2.7,,32.5,,-21.4,,1278,,12.9,,22.1,,48.7,,1.6,5,0.3,,251,,19.9,5,11.2,
2010,9.0,,14.4,,4.1,,34.4,,-20.3,,1108,,13.0,2,23.9,1,53.6,1,1.6,1,0.3,,277,,20.9,1,11.4,
2011,8.7,,14.1,,3.9,,35.6,,-26.0,,1619,,12.0,,26.0,,48.9,,1.6,3,0.3,,231,,18.8,3,11.4,
2012,9.5,,15.0,,4.6,,33.9,,-19.1,,883,,12.7,1,25.4,2,56.2,1,1.5,4,0.3,,237,,20.2,4,11.5,
2013,8.1,,13.4,,3.1,,32.9,,-21.4,,1147,,13.1,,26.9,,53.4,,1.6,2,0.4,,250,,20.7,2,10.9,
2014,7.5,,12.7,,2.5,,30.9,,-22.9,,1304,,12.8,1,26.3,1,51.5,1,1.6,4,0.4,,241,,22.5,4,10.5,
