date,airt,f.airt,airtmax,f.airtmax,airtmin,f.airtmin,airtmmx,f.airtmmx,airtmmn,f.airtmmn,prec,f.prec,slrt,f.slrt,part,f.part,netr,f.netr,wspd,f.wspd,wres,f.wres,wdir,f.wdir,gspd,f.gspd,s10t,f.s10t
2001-03,-1.1,,3.9,,-5.5,,12.4,,-12.8,,169.6,,12.3,,NA,M,NA,M,2.2,1,0.4,1,328,1,19.1,1,NA,M
2001-04,7.0,,13.7,,0.2,,29.2,,-6.7,,31.6,,19.5,,NA,M,NA,M,1.8,1,0.4,1,300,1,16.1,1,NA,M
2001-05,13.8,,20.2,,7.7,,30.9,,-1.6,,49.2,,20.4,,NA,M,NA,M,1.6,,0.1,,60,,13.0,,NA,M
2001-06,19.0,,25.2,,13.3,,30.7,,3.4,,153.0,,21.8,,NA,M,NA,M,1.2,,0.2,,204,,10.5,,21.2,
2001-07,18.5,,25.0,,12.7,,32.7,,7.5,,70.3,,23.7,,NA,M,NA,M,1.2,,0.3,,238,,10.6,,21.8,
2001-08,21.2,,27.3,,16.2,,33.6,,11.7,,53.2,,19.3,,NA,M,NA,M,1.2,,0.4,,191,,10.6,,23.0,
2001-09,15.5,,21.6,,9.9,,28.2,,2.6,,114.5,,16.6,,NA,M,NA,M,1.3,,0.3,,155,,11.4,,18.9,
2001-10,10.3,,16.5,,4.8,,24.6,,-3.6,,20.7,,11.9,,NA,M,NA,M,1.6,,0.5,,223,,17.8,,12.5,
2001-11,5.9,,11.1,,0.9,,19.4,,-6.4,,27.5,,7.2,,NA,M,NA,M,1.8,,0.6,,227,,13.8,,7.0,
2001-12,0.8,,5.1,,-3.2,,19.9,,-10.7,,64.8,,5.7,,NA,M,NA,M,1.7,,0.7,,262,,12.6,,3.6,
2002-01,-1.0,,3.1,,-4.7,,12.4,,-12.0,,52.7,,5.2,,NA,M,NA,M,1.8,,1.0,,255,,16.2,,-0.1,
2002-02,-1.0,,4.7,,-6.4,,15.5,,-14.2,,56.2,,9.3,,NA,M,NA,M,2.0,1,1.0,1,244,1,18.1,,-0.0,
2002-03,1.4,,6.7,,-3.6,,18.3,,-12.9,,84.9,,12.0,,NA,M,NA,M,2.2,,0.5,,237,,17.7,,2.7,
2002-04,7.9,,14.1,,2.2,,32.3,,-7.1,,98.5,,15.8,,NA,M,NA,M,2.0,1,0.5,1,229,1,16.1,1,9.7,
2002-05,11.4,,17.7,,5.6,,26.8,,-1.8,,123.1,,19.6,,NA,M,NA,M,1.8,,0.7,,239,,20.8,,12.2,
2002-06,16.8,,23.1,,10.9,,31.3,,4.3,,115.3,,20.3,,NA,M,NA,M,1.4,,0.3,,183,,14.5,,18.5,
2002-07,20.8,,26.8,,15.3,,33.6,,8.8,,66.5,,22.3,,NA,M,NA,M,1.2,,0.3,,228,,16.3,,22.5,
2002-08,20.4,,27.0,,15.1,,33.7,,7.8,,117.6,,20.4,,NA,M,NA,M,1.2,,0.1,,84,,12.7,,22.6,
2002-09,17.1,,23.4,,11.8,,32.3,,4.0,,87.2,,15.4,,NA,M,NA,M,1.3,,0.2,,211,,15.3,,19.2,
2002-10,7.6,,12.8,,3.1,,26.5,,-5.2,,74.5,,9.5,1,NA,M,NA,M,1.5,1,0.2,1,91,1,16.6,1,12.3,
2002-11,2.4,,6.3,,-1.3,,18.3,,-13.6,,127.8,,5.5,,NA,M,NA,M,1.8,,0.5,,244,,14.6,,6.0,
2002-12,-3.1,,1.3,,-7.1,,12.7,,-17.4,,106.9,,5.6,,NA,M,NA,M,1.9,,0.8,,272,,16.5,,2.4,
2003-01,-8.8,,-4.3,,-13.3,,3.0,,-23.2,,81.0,,6.6,,NA,M,NA,M,1.8,3,1.1,3,276,3,15.8,3,1.5,
2003-02,-6.4,,-1.6,,-11.4,,11.6,,-21.9,,82.0,,9.1,,NA,M,NA,M,2.0,,0.8,,276,,19.0,,1.0,
2003-03,0.8,,7.2,,-5.3,,20.7,,-20.7,,102.7,,13.3,,NA,M,NA,M,2.0,,0.9,,241,,17.8,,2.3,
2003-04,5.1,,11.0,,-0.4,,26.5,,-8.0,,96.3,,15.2,,NA,M,NA,M,1.9,2,0.2,2,95,2,13.1,2,6.3,
2003-05,11.5,,17.3,,6.3,,26.8,,0.9,,144.8,,15.6,,NA,M,NA,M,1.6,,0.4,,98,,13.4,,12.7,
2003-06,17.2,,22.8,,12.2,,33.3,,4.3,,152.4,,18.1,,NA,M,NA,M,1.2,,0.0,,174,,10.7,,18.0,
2003-07,20.6,,26.3,,15.6,,30.8,,11.9,,36.4,,21.3,,NA,M,NA,M,1.3,,0.5,,208,,12.8,,21.9,
2003-08,20.5,,26.1,,16.1,,30.1,,7.1,,98.6,,16.4,,NA,M,NA,M,1.2,,0.4,,199,,11.3,,22.5,
2003-09,15.8,,21.2,,10.9,,26.2,,5.1,,139.3,,13.1,,NA,M,NA,M,1.4,,0.6,,107,,12.2,,18.5,
2003-10,8.1,,13.8,,3.3,,24.5,,-3.0,,143.1,,9.6,,NA,M,NA,M,1.6,,0.4,,217,,19.2,,11.5,
2003-11,4.5,,10.2,,0.2,,21.4,,-8.8,,80.0,,6.2,1,NA,M,NA,M,2.0,,0.6,,254,,18.7,,6.0,4
2003-12,-1.5,,3.0,,-5.8,,12.2,,-13.3,,153.9,,4.7,1,9.9,3,-14.8,3,2.3,1,0.8,1,261,1,17.7,1,0.9,
2004-01,-10.4,,-6.0,,-15.0,,6.8,,-25.6,,29.6,,6.4,,13.4,,-24.3,,2.1,,1.6,,277,,17.4,,0.1,
2004-02,-3.6,,1.8,,-8.7,,10.3,,-17.3,,36.3,,10.5,,21.9,,-12.7,,1.9,2,1.1,2,288,2,15.6,2,-0.1,
2004-03,1.3,,6.5,,-3.3,,20.7,,-11.6,,82.8,,11.7,,24.6,,30.8,,2.1,,0.4,,234,,14.4,,1.3,
2004-04,7.3,,13.6,,1.6,,29.0,,-5.4,,153.6,,15.4,,32.4,,75.0,,2.2,,0.3,,269,,17.5,,8.2,
2004-05,13.8,,20.7,,7.7,,29.8,,-0.7,,114.5,,19.0,,38.8,,106.3,,1.7,,0.5,,200,,14.7,,15.5,
2004-06,16.7,,22.9,,10.8,,31.0,,6.0,,69.9,,21.6,,43.4,,124.5,,1.3,,0.3,,231,,13.4,,18.5,
2004-07,19.5,,25.0,,14.8,,29.0,,11.0,,126.4,,18.7,,38.1,,111.6,,1.3,,0.3,,163,,10.8,,21.4,
2004-08,19.3,,25.0,,14.7,,30.0,,8.7,,87.0,,17.9,,37.0,,104.9,,1.2,,0.5,,203,,10.2,,21.5,
2004-09,16.0,,22.0,,10.8,,27.3,,4.3,,213.5,,14.8,,30.9,,73.4,,1.2,,0.1,,118,,14.2,,18.8,
2004-10,8.9,,14.1,,4.6,,23.1,,-1.1,,61.8,,10.0,,20.9,,33.3,,1.4,,0.0,,353,,11.3,,12.9,
2004-11,3.7,,8.7,,-1.3,,17.3,,-9.4,,88.5,,6.8,,14.2,,5.3,,1.8,,0.6,,250,,19.9,,7.1,
2004-12,-2.5,,1.5,,-6.9,,13.5,,-22.0,,98.8,,4.4,,9.1,,-11.4,,2.0,1,0.6,1,247,1,20.7,1,2.4,
2005-01,-6.7,,-2.1,,-11.3,,14.0,,-24.9,,111.4,,5.9,,12.0,,-16.2,,1.7,4,0.5,4,311,4,14.2,4,1.0,
2005-02,-2.7,,2.8,,-7.8,,12.3,,-16.0,,64.7,,9.3,,19.2,,-13.3,,1.7,,0.3,,317,,15.9,,0.8,
2005-03,-1.3,,4.2,,-6.5,,16.7,,-17.5,,119.9,,13.3,,27.2,,1.5,,1.9,,0.7,,283,,17.4,,0.6,
2005-04,8.6,,15.5,,2.0,,27.5,,-3.8,,144.1,,17.9,,36.7,,84.7,,2.1,,0.1,,166,,14.2,,8.0,
2005-05,9.9,,15.4,,4.6,,25.4,,-1.5,,91.0,,15.9,,32.9,,83.0,,1.5,,0.4,,36,,15.8,,11.5,
2005-06,19.3,,25.7,,13.9,,32.6,,7.5,,140.2,,19.0,,39.4,,118.0,,1.2,,0.4,,190,,14.0,,19.4,
