date,jd,airt,f.airt,airtmax,f.airtmax,airtmin,f.airtmin,rh,f.rh,rhmax,f.rhmax,rhmin,f.rhmin,dewp,f.dewp,dewpmax,f.dewpmax,dewpmin,f.dewpmin,prec,f.prec,slrt,f.slrt,part,f.part,netr,f.netr,bar,f.bar,wspd,f.wspd,wres,f.wres,wdir,f.wdir,wdev,f.wdev,gspd,f.gspd,s10t,f.s10t,s10tmax,f.s10tmax,s10tmin,f.s10tmin
2001-02-11,42,-10.7,,-6.9,,-15.1,,40,,58,,22,,-22.2,,-16.8,,-25.7,,0,,14.9,,NA,M,NA,M,1025,,3.3,,2.9,,287,,27,,15.4,,NA,M,NA,M,NA,M
2001-02-12,43,-9.8,,-2.4,,-17.4,,45,,85,,14,,-20.7,,-9.2,,-27.9,,0,,14.8,,NA,M,NA,M,1033,,1.7,,0.9,,245,,55,,7.2,,NA,M,NA,M,NA,M
2001-02-13,44,-2,,5.7,,-7.3,,70,,100,,34,,-7.6,,-4.6,,-10.2,,0,,14.8,,NA,M,NA,M,1024,,1.7,,0.9,,278,,53,,9.6,,NA,M,NA,M,NA,M
2001-02-14,45,-0.5,,1.9,,-5.7,,78,,100,,59,,-4.1,,1.9,,-10.2,,6.9,,2.6,,NA,M,NA,M,1016,,2.5,,1.9,,197,,38,,11.2,,NA,M,NA,M,NA,M
2001-02-15,46,-0.4,,2.4,,-5.7,,69,,100,,37,,-6,,2,,-12.1,,0,,10.5,,NA,M,NA,M,1010,,1.6,,1.2,,300,,40,,12.7,,NA,M,NA,M,NA,M
2001-02-16,47,-3,,1.3,,-9,,82,,100,,46,,-5.9,,-0.4,,-10.6,,2.3,,6.4,,NA,M,NA,M,1016,,1.1,,0.5,,182,,56,,5.8,,NA,M,NA,M,NA,M
2001-02-17,48,-4.5,,-0.7,,-12.7,,66,,100,,30,,-10.8,,-0.7,,-25.4,,0,,10.3,,NA,M,NA,M,1008,,3.3,,3,,281,,24,,16.9,,NA,M,NA,M,NA,M
2001-02-18,49,-9.9,,-3.3,,-17.1,,51,,71,,34,,-18.5,,-14.4,,-25,,0,,15.5,,NA,M,NA,M,1022,,2,,1.9,,272,,24,,10.3,,NA,M,NA,M,NA,M
2001-02-19,50,-4.5,,0.7,,-11.7,,57,,81,,37,,-12,,-4,,-16.5,,0,,15,,NA,M,NA,M,1022,,2.5,,2.1,,217,,31,,11.1,,NA,M,NA,M,NA,M
2001-02-20,51,3.2,,8.9,,-1.3,,62,,78,,42,,-3.5,,0.6,,-5.7,,0,,7.7,,NA,M,NA,M,1017,,2,,1.8,,218,,27,,10.9,,NA,M,NA,M,NA,M
2001-02-21,52,-3.1,,4.7,,-13,,50,,85,,25,,-12.7,,-0.3,,-21.6,,0,,14.8,,NA,M,NA,M,1015,,3.6,,3.2,,276,,28,,14.6,,NA,M,NA,M,NA,M
2001-02-22,53,-11.2,,-6.4,,-16.9,,51,,92,,25,,-20,,-11.3,,-24.2,,0.3,,12.5,,NA,M,NA,M,1024,,1.3,,0.6,,203,,59,,6.2,,NA,M,NA,M,NA,M
2001-02-23,54,-5.8,,0.8,,-11.5,,75,,94,,51,,-9.8,,-5.6,,-13.3,,1,,8.7,,NA,M,NA,M,1016,,2,,1.7,,277,,33,,13.1,,NA,M,NA,M,NA,M
2001-02-24,55,-6.1,,-1.2,,-10.2,,40,,63,,19,,-18.2,,-12.4,,-23.8,,0,,16.7,,NA,M,NA,M,1030,,2,,1.4,,307,,42,,10.9,,NA,M,NA,M,NA,M
2001-02-25,56,-2.2,,5.3,,-7.7,,83,,100,,28,,-5.5,,5.3,,-21.5,,13.7,,1.6,,NA,M,NA,M,1021,,2.2,,1.9,,131,,29,,8.8,,NA,M,NA,M,NA,M
2001-02-26,57,0.3,,3.7,,-5.3,,75,,100,,45,,-4,,2.5,,-8.6,,0,,12.1,,NA,M,NA,M,1012,,2.9,,2.6,,275,,24,,15.9,,NA,M,NA,M,NA,M
2001-02-27,58,-2.6,,2.9,,-7.4,,67,,88,,49,,-8.1,,-3.8,,-13.1,,0,,13.2,,NA,M,NA,M,1017,,2.1,,2,,274,,23,,11.8,,NA,M,NA,M,NA,M
2001-02-28,59,-7.6,,-3.7,,-11.7,,53,,68,,31,,-15.8,,-12.2,,-19.1,,0,,15.4,,NA,M,NA,M,1012,,2.2,,2,,276,,26,,11.4,,NA,M,NA,M,NA,M
2001-03-01,60,-8.6,,-3.4,,-12.8,,70,,95,,42,,-13.5,,-7.7,,-17.8,,0,,10.3,,NA,M,NA,M,1007,,1.9,,1.5,,271,,33,,11,,NA,M,NA,M,NA,M
2001-03-02,61,-7.8,,-3.6,,-11.2,,88,,97,,67,,-9.6,,-6.4,,-12.6,,0,,7.5,,NA,M,NA,M,1002,,1.5,,1.3,,94,,30,,4.6,,NA,M,NA,M,NA,M
2001-03-03,62,-4.1,,2.9,,-7.1,,83,,97,,49,,-6.8,,-4.7,,-7.8,,0,,10.7,,NA,M,NA,M,1009,,1.6,,1.2,,77,,42,,6.5,,NA,M,NA,M,NA,M
2001-03-04,63,-5.5,,-0.8,,-8.8,,76,,93,,51,,-9.2,,-6.9,,-10.5,,0,,9.3,,NA,M,NA,M,1017,,2.3,,2.1,,88,,27,,8.9,,NA,M,NA,M,NA,M
2001-03-05,64,-4.5,,-3,,-6.8,,93,,100,,69,,-5.5,,-3,,-10.6,,31.5,,2.6,,NA,M,NA,M,1002,,3.2,,2.7,,60,,31,,13.7,,NA,M,NA,M,NA,M
2001-03-06,65,-2.9,,-2,,-3.9,,100,,100,,99,,-2.9,,-2,,-3.9,,16.5,,4.4,,NA,M,NA,M,992,,2.6,,2.1,,30,,34,,14.2,,NA,M,NA,M,NA,M
2001-03-07,66,-2.1,,2.8,,-5.6,,80,,100,,51,,-5.3,,-2.6,,-7.7,,0.5,,16.8,,NA,M,NA,M,1007,,1.4,,0.8,,37,,49,,8.1,,NA,M,NA,M,NA,M
2001-03-08,67,-1,,4.1,,-6.5,,70,,94,,42,,-6,,-3.1,,-8.7,,0,,15.6,,NA,M,NA,M,1014,,1.4,,1.1,,209,,35,,7.4,,NA,M,NA,M,NA,M
2001-03-09,68,-1.2,,1.5,,-3.2,,92,,100,,74,,-2.4,,-0.5,,-3.9,,5.3,,5.4,,NA,M,NA,M,1009,,2.2,,1.5,,94,,45,,11.9,,NA,M,NA,M,NA,M
2001-03-10,69,-1,,4.1,,-5.1,,84,,100,,48,,-3.6,,-1.1,,-7.4,,1.5,,9.3,,NA,M,NA,M,1005,,2.5,,2.1,,290,,30,,11.2,,NA,M,NA,M,NA,M
2001-03-11,70,-0.9,,5.6,,-6.5,,72,,95,,44,,-5.7,,0.4,,-8.2,,0,,12.2,,NA,M,NA,M,1011,,2.7,,2.3,,250,,31,,17.8,,NA,M,NA,M,NA,M
2001-03-12,71,-1.3,,7.6,,-7.5,,44,,78,,13,,-13.4,,-6.9,,-20.7,,0,,21,,NA,M,NA,M,1020,,1.7,,0.6,,302,,63,,8.5,,NA,M,NA,M,NA,M
2001-03-13,72,-0.7,,0.9,,-2.8,,94,,100,,51,,-1.8,,0.6,,-10.4,,18.3,,3.4,,NA,M,NA,M,1003,,1.1,Q,0.4,Q,102,Q,52,Q,8.9,Q,NA,M,NA,M,NA,M
2001-03-14,73,0.7,,3.9,,-3,,78,,100,,54,,-3.1,,0.3,,-6.7,,0,,8.4,,NA,M,NA,M,1001,,2.9,,2.6,,269,,24,,14.3,,NA,M,NA,M,NA,M
2001-03-15,74,3.7,,8.3,,-0.4,,58,,79,,38,,-4.1,,-1.3,,-5.9,,0,,16.6,,NA,M,NA,M,1009,,2.6,,2.3,,270,,24,,13.2,,NA,M,NA,M,NA,M
2001-03-16,75,3,,9.6,,-3.2,,54,,88,,24,,-6.4,,-1.5,,-11.1,,0,,18.8,,NA,M,NA,M,1012,,1.1,,0.6,,328,,53,,6.5,,NA,M,NA,M,NA,M
2001-03-17,76,3,,10.1,,-3,,43,,68,,21,,-9.2,,-3.6,,-13,,0,,21.1,,NA,M,NA,M,1012,,1.1,,0.8,,321,,38,,5.4,,NA,M,NA,M,NA,M
2001-03-18,77,0.6,,5,,-2.7,,66,,100,,38,,-5.7,,-0.9,,-10.3,,0.8,,16.4,,NA,M,NA,M,1014,,2.2,,1.8,,318,,33,,11.1,,NA,M,NA,M,NA,M
2001-03-19,78,2.3,,8.6,,-2.3,,45,,68,,27,,-9,,-5.7,,-10.5,,0,,21.8,,NA,M,NA,M,1023,,1.7,,1.3,,320,,36,,9.9,,NA,M,NA,M,NA,M
2001-03-20,79,4.1,,12.4,,-3.9,,54,,86,,26,,-5.3,,-2.6,,-7.5,,0,,21.9,,NA,M,NA,M,1030,,1.1,,0.4,,181,,63,,6.3,,NA,M,NA,M,NA,M
2001-03-21,80,1.8,,5.6,,-1.7,,77,,99,,53,,-2.1,,0.8,,-4,,9.6,,9.1,,NA,M,NA,M,1023,,3.1,,2.8,,76,,24,,13.9,,NA,M,NA,M,NA,M
2001-03-22,81,1.8,E,3.8,E,-0.3,,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,33.5,,3.8,,NA,M,NA,M,999,,4.1,,3.2,,56,,38,,17,,NA,M,NA,M,NA,M
2001-03-23,82,5.7,E,12.4,,-1,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0.5,,6.8,,NA,M,NA,M,996,,2.8,,2.4,,284,,30,,11.6,,NA,M,NA,M,NA,M
2001-03-24,83,1.8,,6.1,,-2.1,,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,12.3,,NA,M,NA,M,1004,,3,,2.7,,262,,25,,11.5,,NA,M,NA,M,NA,M
2001-03-25,84,-2,,2.3,,-5.7,,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,22.1,,NA,M,NA,M,1012,,2.5,,2.3,,277,,24,,10.2,,NA,M,NA,M,NA,M
