easting,northing,geodeticDa,utmZone,plotID,stateProvi,county,domainName,domainID,siteID,plotType,subtype,plotSize,elevation,soilTypeOr,plotdim_m
731405.307,4713456.299,WGS84,18N,HARV_015,MA,Worcester,Northeast,D01,HARV,distributed,basePlot,1600,331.64,Inceptisols,40
731934.336,4713414.977,WGS84,18N,HARV_033,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,341.62,Inceptisols,40
731754.336,4713114.977,WGS84,18N,HARV_034,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,347.61,Inceptisols,40
731724.336,4713594.977,WGS84,18N,HARV_035,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,334.34,Histosols,40
732125.307,4713846.299,WGS84,18N,HARV_036,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,352.93,Inceptisols,40
731634.336,4713294.977,WGS84,18N,HARV_037,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,342.43,Histosols,40
731754.336,4713294.977,WGS84,18N,HARV_038,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,343.11,Histosols,40
731784.336,4712844.977,WGS84,18N,HARV_039,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,353.55,Inceptisols,40
731904.336,4713594.977,WGS84,18N,HARV_040,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,338.11,Inceptisols,40
731514.336,4713234.977,WGS84,18N,HARV_041,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,343.74,Histosols,40
731874.336,4712964.977,WGS84,18N,HARV_042,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,351.2,Inceptisols,40
731844.336,4713714.977,WGS84,18N,HARV_043,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,339.68,Inceptisols,40
731874.336,4713084.977,WGS84,18N,HARV_044,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,348.73,Inceptisols,40
732275.307,4713846.299,WGS84,18N,HARV_045,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,358.28,Inceptisols,40
731514.336,4713354.977,WGS84,18N,HARV_046,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,340.08,Histosols,40
731934.336,4713234.977,WGS84,18N,HARV_047,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,345.81,Inceptisols,40
731724.336,4713744.977,WGS84,18N,HARV_048,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,336.7,Inceptisols,40
731604.336,4713054.977,WGS84,18N,HARV_049,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,348.85,Inceptisols,40
731634.336,4713174.977,WGS84,18N,HARV_050,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,345.74,Histosols,40
731664.336,4712934.977,WGS84,18N,HARV_051,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,351.76,Inceptisols,40
731844.336,4713834.977,WGS84,18N,HARV_052,MA,Worcester,Northeast,D01,HARV,tower,basePlot,1600,343.01,Histosols,40
